Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11745.495000	10009.882000	0.608009	19.962332
11745.496000	10010.025000	0.607276	19.977788
11745.497000	10009.612000	0.607744	19.957191
11745.498000	10010.097000	0.607808	19.963286
11745.499000	10010.304000	0.607858	19.963713
11745.500000	10010.214000	0.607681	19.963027
11745.501000	10010.456000	0.608060	19.956543
11745.502000	10010.411000	0.608260	19.956039
11745.503000	10010.805000	0.608537	19.950066
11745.504000	10010.260000	0.608619	19.948350
11745.505000	10010.721000	0.608360	19.952332
11745.506000	10010.431000	0.608338	19.954895
11745.507000	10010.222000	0.608052	19.954498
11745.508000	10011.132000	0.607892	19.948800
11745.509000	10010.878000	0.607418	19.957573
11745.510000	10011.328000	0.607460	19.953186
11745.511000	10011.482000	0.607932	19.947518
11745.512000	10011.357000	0.608311	19.955238
11745.513000	10011.471000	0.608546	19.954842
11745.514000	10011.747000	0.608199	19.965415
11745.515000	10011.765000	0.608618	19.953026
11745.516000	10011.737000	0.608601	19.954612
11745.517000	10012.032000	0.608204	19.961661
11745.518000	10011.942000	0.607671	19.965186
11745.519000	10011.896000	0.607523	19.965705
11745.520000	10011.731000	0.607860	19.964652
11745.521000	10012.021000	0.608195	19.955932
11745.522000	10012.872000	0.607977	19.965720
11745.523000	10012.010000	0.608033	19.968878
11745.524000	10011.745000	0.608255	19.962089
11745.525000	10012.888000	0.608259	19.956383
11745.526000	10012.329000	0.608063	19.959678
11745.527000	10013.113000	0.608716	19.959174
11745.528000	10013.049000	0.608521	19.953301
11745.529000	10013.086000	0.607934	19.959403
11745.530000	10013.198000	0.608104	19.958549
11745.531000	10013.346000	0.608726	19.958915
11745.532000	10013.537000	0.608873	19.963393
11745.533000	10013.958000	0.608914	19.960433
11745.534000	10013.819000	0.608860	19.953705
11745.535000	10013.553000	0.608913	19.952446
11745.536000	10014.786000	0.608793	19.956764
11745.537000	10013.780000	0.608429	19.955696
11745.538000	10013.779000	0.608361	19.953216
11745.539000	10013.902000	0.608478	19.949914
11745.540000	10013.302000	0.607962	19.954704
11745.541000	10013.993000	0.607847	19.960853
11745.542000	10014.160000	0.608591	19.952042
11745.543000	10013.939000	0.607975	19.959381
11745.544000	10014.088000	0.607919	19.958663
11745.545000	10014.359000	0.607912	19.961753
11745.546000	10014.365000	0.608672	19.956779
11745.547000	10014.819000	0.608696	19.948205
11745.548000	10015.515000	0.608621	19.949036
11745.549000	10014.839000	0.608645	19.958511
11745.550000	10015.253000	0.608784	19.955078
11745.551000	10015.713000	0.609104	19.952813
11745.552000	10015.934000	0.609151	19.955086
11745.553000	10015.197000	0.608900	19.964965
11745.554000	10016.162000	0.608796	19.971083
11745.555000	10016.093000	0.608799	19.965971
11745.556000	10016.348000	0.608985	19.957756
11745.557000	10015.840000	0.608485	19.964499
11745.558000	10015.628000	0.608162	19.962089
11745.559000	10015.931000	0.608026	19.957351
11745.560000	10016.189000	0.607970	19.958496
11745.561000	10016.728000	0.608222	19.958404
11745.562000	10016.588000	0.607644	19.956665
11745.563000	10016.688000	0.607424	19.963065
11745.564000	10016.934000	0.608072	19.957908
11745.565000	10017.288000	0.607967	19.960883
11745.566000	10017.117000	0.608195	19.959075
11745.567000	10016.739000	0.607888	19.951966
11745.568000	10017.569000	0.607217	19.962744
11745.569000	10016.959000	0.607000	19.956993
11745.570000	10017.371000	0.607390	19.945367
11745.571000	10017.451000	0.606864	19.952416
11745.572000	10017.748000	0.607116	19.949387
11745.573000	10017.966000	0.607423	19.943956
11745.574000	10017.817000	0.606871	19.953819
11745.575000	10017.303000	0.606925	19.954193
11745.576000	10017.626000	0.606475	19.955277
11745.577000	10017.595000	0.606473	19.957328
11745.578000	10017.639000	0.606342	19.955498
11745.579000	10018.041000	0.605833	19.961524
11745.580000	10018.009000	0.605692	19.959823
11745.581000	10017.582000	0.605938	19.961974
11745.582000	10018.231000	0.606876	19.946992
11745.583000	10017.785000	0.607150	19.948571
11745.584000	10018.278000	0.607088	19.958358
11745.585000	10018.374000	0.607149	19.954162
11745.586000	10019.047000	0.607729	19.950325
11745.587000	10019.056000	0.607698	19.949792
11745.588000	10018.829000	0.607793	19.956421
11745.589000	10019.202000	0.607876	19.954643
11745.590000	10019.340000	0.607862	19.958030
11745.591000	10019.304000	0.607527	19.974271
11745.592000	10019.121000	0.608227	19.957214
11745.593000	10019.305000	0.608691	19.948067
11745.594000	10019.641000	0.608251	19.957245
