Time(s)	Displ(microns)	Friction	EffectiveNormalstress(MPa)
11153.336000	3637.198000	0.495500	29.998800
11153.482000	3637.401000	0.495796	30.001106
11153.618000	3637.360000	0.495854	30.002030
11153.744000	3637.988000	0.495830	30.002303
11153.890000	3638.352000	0.495373	30.001475
11154.046000	3638.797000	0.495749	30.001481
11154.182000	3638.736000	0.495518	30.002516
11154.318000	3639.121000	0.495443	30.003335
11154.454000	3639.323000	0.495562	30.001909
11154.610000	3639.748000	0.495518	30.001207
11154.736000	3640.254000	0.495299	30.001702
11154.862000	3640.112000	0.494299	30.001607
11154.988000	3640.558000	0.495374	30.000727
11155.114000	3640.800000	0.495151	29.998712
11155.240000	3641.225000	0.494557	29.997406
11155.376000	3641.003000	0.495249	29.997900
11155.502000	3642.015000	0.494506	29.998453
11155.638000	3641.934000	0.494828	30.000528
11155.774000	3642.217000	0.494195	30.001239
11155.950000	3642.440000	0.494933	30.001342
11156.106000	3642.743000	0.494319	30.001987
11156.232000	3643.289000	0.494157	30.002698
11156.368000	3643.229000	0.494198	30.002620
11156.494000	3643.775000	0.494359	30.003165
11156.630000	3644.018000	0.494123	30.004529
11156.766000	3644.423000	0.494454	30.004959
11156.922000	3644.625000	0.493707	30.009204
11157.048000	3644.827000	0.493898	30.010848
11157.194000	3645.009000	0.493827	30.012348
11157.320000	3645.313000	0.494131	30.016767
11157.446000	3645.455000	0.494061	30.015290
11157.582000	3645.596000	0.493552	30.014986
11157.708000	3645.880000	0.493935	30.011634
11157.844000	3645.880000	0.493806	30.008381
11157.980000	3646.588000	0.494191	30.004087
11158.136000	3646.770000	0.494211	30.002036
11158.272000	3647.074000	0.494475	29.998267
11158.428000	3647.114000	0.493877	29.998031
11158.554000	3647.498000	0.493745	29.997181
11158.700000	3647.620000	0.493728	29.997281
11158.826000	3648.186000	0.493591	29.997729
11158.962000	3648.328000	0.493809	29.998357
11159.098000	3649.259000	0.493485	29.997691
11159.234000	3648.935000	0.493918	29.999762
11159.370000	3648.976000	0.493593	29.998068
11159.506000	3649.826000	0.493624	29.998400
11159.642000	3649.724000	0.493580	29.998719
11159.778000	3649.805000	0.493272	29.998955
11159.924000	3650.170000	0.493110	29.999380
11160.050000	3650.554000	0.493138	29.997799
11160.196000	3651.080000	0.492997	29.997135
11160.332000	3651.161000	0.493006	29.996511
11160.458000	3651.323000	0.493209	29.994711
11160.584000	3652.072000	0.492837	29.993345
11160.730000	3651.950000	0.493640	29.992670
11160.856000	3652.132000	0.494203	29.991773
11160.992000	3652.740000	0.493573	29.991994
11161.128000	3652.942000	0.493532	29.993010
11161.264000	3652.982000	0.492925	29.992143
11161.410000	3653.630000	0.494052	29.992508
11161.546000	3653.650000	0.493518	29.992809
11161.692000	3653.933000	0.493835	29.992101
11161.818000	3654.055000	0.494778	29.992253
11161.944000	3654.419000	0.494369	29.991111
11162.070000	3654.520000	0.493258	29.991130
11162.226000	3655.087000	0.493132	29.990971
11162.362000	3654.885000	0.493163	29.993415
11162.488000	3655.249000	0.493482	29.995549
11162.614000	3655.451000	0.493522	29.994600
11162.750000	3655.552000	0.493662	29.994321
11162.886000	3655.734000	0.493478	29.994130
11163.022000	3656.625000	0.493318	29.996541
11163.188000	3656.645000	0.492810	29.997306
11163.314000	3657.050000	0.493123	29.995696
11163.440000	3656.989000	0.493524	29.991562
11163.576000	3657.394000	0.493733	29.992430
11163.722000	3657.839000	0.493155	29.992925
11163.848000	3658.021000	0.493297	29.992357
11163.974000	3658.102000	0.493286	29.990979
11164.110000	3658.143000	0.494125	29.988645
11164.246000	3658.911000	0.493994	29.988644
11164.372000	3659.215000	0.494316	29.987780
11164.508000	3659.417000	0.494800	29.991195
11164.664000	3659.701000	0.493971	29.993196
11164.820000	3660.186000	0.494181	29.994184
11164.956000	3660.267000	0.493514	29.995646
11165.092000	3660.470000	0.494068	29.997460
11165.228000	3660.793000	0.493692	29.997555
11165.374000	3660.955000	0.493815	29.999141
11165.500000	3661.684000	0.494018	29.999458
11165.636000	3661.684000	0.493462	29.998043
11165.772000	3661.744000	0.493750	29.997842
11165.918000	3662.190000	0.492884	30.000587
11166.044000	3662.412000	0.492969	30.001038
11166.180000	3662.513000	0.493200	30.001753
11166.316000	3662.918000	0.494282	29.998491
11166.452000	3663.040000	0.493210	29.997254
11166.578000	3663.323000	0.493931	29.996963
11166.714000	3663.768000	0.492773	29.997177
11166.850000	3663.788000	0.493800	29.995782
11166.986000	3663.991000	0.493249	29.995888
11167.122000	3664.537000	0.492831	29.995922
11167.268000	3664.820000	0.493627	29.997623
11167.424000	3664.962000	0.494087	29.999114
11167.550000	3665.023000	0.494057	29.998671
11167.676000	3665.083000	0.494353	29.998006
11167.822000	3665.954000	0.493415	29.996752
11167.948000	3666.095000	0.493868	29.994957
11168.074000	3666.115000	0.493852	29.993953
11168.210000	3666.520000	0.492959	29.992473
11168.336000	3666.884000	0.493751	29.992718
11168.472000	3667.188000	0.492980	29.992727
11168.608000	3667.208000	0.493551	29.993632
11168.754000	3667.633000	0.493518	29.995430
11168.880000	3667.937000	0.494290	29.995656
11169.016000	3668.159000	0.493528	29.997955
11169.162000	3668.483000	0.493814	29.998810
11169.318000	3668.706000	0.493854	30.000563
11169.454000	3668.928000	0.493727	30.002218
11169.580000	3669.373000	0.493419	30.005336
11169.706000	3669.394000	0.493439	30.008046
11169.832000	3669.717000	0.493638	30.009352
11169.968000	3670.021000	0.494178	30.009667
11170.094000	3670.102000	0.494337	30.009251
11170.230000	3670.183000	0.493893	30.005907
11170.366000	3670.932000	0.493525	30.004527
11170.502000	3671.093000	0.493372	30.004669
11170.638000	3671.437000	0.492921	30.001653
11170.784000	3671.721000	0.493835	30.000271
11170.920000	3671.964000	0.493461	29.996244
11171.056000	3672.044000	0.493486	29.995927
11171.182000	3672.631000	0.494346	29.996385
11171.318000	3672.652000	0.493109	29.997759
11171.454000	3672.672000	0.493608	29.995347
11171.580000	3672.935000	0.493802	29.995015
11171.726000	3673.157000	0.493582	29.996589
11171.852000	3673.279000	0.493709	29.997764
11171.988000	3673.967000	0.493720	30.000083
11172.124000	3674.230000	0.493985	30.002886
11172.260000	3674.412000	0.493243	30.005049
11172.406000	3674.918000	0.493573	30.006483
11172.532000	3675.323000	0.493873	30.005567
11172.688000	3675.060000	0.493666	30.004637
11172.814000	3675.727000	0.494283	30.003985
11172.940000	3675.869000	0.493401	30.003675
11173.066000	3676.274000	0.493540	30.003243
11173.222000	3676.355000	0.493775	30.001813
11173.348000	3676.800000	0.493328	30.001468
11173.484000	3676.881000	0.493379	29.999846
11173.610000	3677.366000	0.494111	29.998164
11173.756000	3677.447000	0.494105	29.996506
11173.882000	3677.528000	0.493968	29.994859
11174.018000	3678.297000	0.494370	29.991763
11174.164000	3678.034000	0.494465	29.990829
11174.310000	3678.945000	0.493876	29.989100
11174.436000	3679.006000	0.493893	29.989241
11174.572000	3679.066000	0.493823	29.988954
11174.698000	3679.147000	0.493829	29.988705
11174.824000	3679.653000	0.494053	29.990770
11174.960000	3679.896000	0.494566	29.991522
11175.096000	3680.058000	0.494057	29.992354
11175.232000	3680.382000	0.494261	29.992508
11175.368000	3680.807000	0.494560	29.992589
11175.504000	3680.989000	0.493622	29.993151
11175.640000	3681.211000	0.493634	29.994406
11175.776000	3681.515000	0.493264	29.993939
11175.912000	3681.555000	0.493653	29.995240
11176.048000	3682.061000	0.494108	29.995101
11176.194000	3682.425000	0.493907	29.994798
11176.330000	3682.446000	0.493820	29.995437
11176.456000	3682.527000	0.493957	29.994333
11176.582000	3682.830000	0.493258	29.996295
11176.718000	3683.457000	0.494152	29.996093
11176.854000	3683.781000	0.493634	29.995676
11176.990000	3683.903000	0.492711	29.993883
11177.126000	3684.287000	0.494309	29.993548
11177.262000	3684.449000	0.494463	29.993604
11177.408000	3684.793000	0.493657	29.994368
11177.544000	3685.137000	0.493553	29.995895
11177.680000	3685.360000	0.493678	29.998249
11177.816000	3685.542000	0.494564	30.002157
11177.942000	3685.946000	0.493629	30.006485
11178.078000	3685.926000	0.493072	30.008802
11178.224000	3686.574000	0.492959	30.013464
