Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11662.600000	8669.176000	0.607639	19.967614
11662.700000	8669.498000	0.608247	19.967178
11662.800000	8669.794000	0.607931	19.967828
11662.900000	8670.074000	0.607386	19.967207
11663.000000	8670.418000	0.608053	19.967765
11663.100000	8670.762000	0.607872	19.967657
11663.200000	8670.983000	0.607746	19.967590
11663.300000	8671.312000	0.607147	19.967527
11663.400000	8671.572000	0.607211	19.967519
11663.500000	8671.902000	0.608126	19.967270
11663.600000	8672.188000	0.608761	19.967760
11663.700000	8672.510000	0.608358	19.967734
11663.800000	8672.794000	0.607437	19.967340
11663.900000	8673.129000	0.608274	19.967264
11664.000000	8673.425000	0.608024	19.967779
11664.100000	8673.676000	0.607264	19.968157
11664.200000	8674.019000	0.606695	19.967076
11664.300000	8674.326000	0.607212	19.967846
11664.400000	8674.585000	0.607646	19.967790
11664.500000	8674.905000	0.607140	19.967305
11664.600000	8675.186000	0.608021	19.968149
11664.700000	8675.530000	0.608482	19.967563
11664.800000	8675.759000	0.607216	19.967703
11664.900000	8676.132000	0.608380	19.967752
11665.000000	8676.398000	0.608237	19.967619
11665.100000	8676.670000	0.608117	19.966529
11665.200000	8677.006000	0.608160	19.968288
11665.300000	8677.302000	0.607847	19.968109
11665.400000	8677.592000	0.607546	19.967296
11665.500000	8677.937000	0.608385	19.967806
11665.600000	8678.174000	0.607525	19.967279
11665.700000	8678.461000	0.608276	19.967764
11665.800000	8678.846000	0.607574	19.967460
11665.900000	8679.123000	0.608260	19.968225
11666.000000	8679.382000	0.606807	19.967419
11666.100000	8679.746000	0.607519	19.967884
11666.200000	8679.985000	0.606126	19.967292
11666.300000	8680.270000	0.607002	19.967395
11666.400000	8680.604000	0.607546	19.967639
11666.500000	8680.896000	0.607842	19.967886
11666.600000	8681.239000	0.608374	19.968023
11666.700000	8681.465000	0.607675	19.967624
11666.800000	8681.831000	0.608999	19.967047
11666.900000	8682.068000	0.607868	19.967982
11667.000000	8682.391000	0.608497	19.967941
11667.100000	8682.751000	0.608190	19.967668
11667.200000	8683.003000	0.608131	19.967043
11667.300000	8683.313000	0.607375	19.968173
11667.400000	8683.589000	0.607816	19.967163
11667.500000	8683.899000	0.607555	19.967965
11667.600000	8684.230000	0.607347	19.967429
11667.700000	8684.506000	0.607625	19.967660
11667.800000	8684.813000	0.607821	19.967687
11667.900000	8685.100000	0.606298	19.967281
11668.000000	8685.417000	0.606946	19.967600
11668.100000	8685.645000	0.607407	19.968207
11668.200000	8685.996000	0.608159	19.966737
11668.300000	8686.316000	0.608296	19.968014
11668.400000	8686.591000	0.608235	19.967163
11668.500000	8686.940000	0.608833	19.968315
11668.600000	8687.168000	0.608071	19.967453
11668.700000	8687.561000	0.607343	19.967441
11668.800000	8687.756000	0.606967	19.967461
11668.900000	8688.141000	0.607868	19.967975
11669.000000	8688.391000	0.607640	19.967279
11669.100000	8688.730000	0.606655	19.967988
11669.200000	8689.006000	0.607197	19.967520
11669.300000	8689.302000	0.607195	19.967184
11669.400000	8689.587000	0.608020	19.967764
11669.500000	8689.896000	0.607850	19.967832
11669.600000	8690.189000	0.608481	19.967087
11669.700000	8690.550000	0.607072	19.967865
11669.800000	8690.785000	0.607315	19.967829
11669.900000	8691.073000	0.607221	19.967140
11670.000000	8691.413000	0.607804	19.967807
11670.100000	8691.709000	0.607772	19.967460
11670.200000	8692.001000	0.608005	19.967489
11670.300000	8692.357000	0.607775	19.967818
11670.400000	8692.567000	0.607448	19.967704
11670.500000	8692.864000	0.607943	19.967437
