Time(s)	Displ(microns)	Friction	Effective_Normal_stress(MPa)
20131.979000	5762.602000	0.454278	29.999280
20132.115000	5762.461000	0.454815	29.999920
20132.251000	5762.825000	0.454044	29.994686
20132.397000	5762.926000	0.454250	29.991876
20132.543000	5762.784000	0.454757	29.991172
20132.699000	5762.865000	0.454536	29.991980
20132.825000	5762.784000	0.454380	29.993360
20132.951000	5762.906000	0.455091	29.990706
20133.077000	5763.169000	0.454448	29.990778
20133.213000	5763.351000	0.454533	29.991361
20133.339000	5763.088000	0.454800	29.993378
20133.465000	5763.027000	0.454691	29.995311
20133.591000	5763.027000	0.454236	29.996451
20133.717000	5763.614000	0.454254	29.996517
20133.853000	5763.290000	0.454902	29.996159
20134.009000	5763.331000	0.454797	29.995770
20134.145000	5763.452000	0.455027	29.996654
20134.281000	5763.391000	0.454826	30.000291
20134.417000	5763.493000	0.454422	30.000626
20134.573000	5763.331000	0.454446	30.001277
20134.699000	5763.493000	0.454906	30.002856
20134.835000	5763.938000	0.454431	30.003915
20134.971000	5763.735000	0.454729	30.006012
20135.097000	5763.735000	0.454940	30.006681
20135.223000	5763.513000	0.454357	30.003294
20135.349000	5763.715000	0.455134	30.000888
20135.475000	5763.553000	0.454568	29.999691
20135.641000	5763.837000	0.455518	29.997276
20135.777000	5763.776000	0.454279	29.992747
20135.913000	5763.857000	0.455160	29.991147
20136.069000	5763.796000	0.454976	29.987902
20136.205000	5763.574000	0.454358	29.988815
20136.331000	5764.019000	0.454749	29.992409
20136.457000	5764.059000	0.454061	29.995063
20136.583000	5763.816000	0.455090	29.995731
20136.719000	5763.857000	0.455203	29.996931
20136.855000	5764.221000	0.454590	29.999544
20137.001000	5763.816000	0.453821	30.000432
20137.137000	5764.241000	0.454594	30.000484
20137.273000	5764.201000	0.454002	29.998741
20137.409000	5764.160000	0.454819	29.996379
20137.545000	5764.181000	0.455169	29.996869
20137.671000	5763.776000	0.454513	29.996535
20137.807000	5764.241000	0.454464	29.997155
20137.943000	5764.262000	0.454900	29.996019
20138.099000	5764.262000	0.454973	29.997203
20138.235000	5763.938000	0.454255	29.997258
20138.391000	5763.735000	0.454352	29.999215
20138.537000	5764.322000	0.454358	29.998979
20138.673000	5764.160000	0.454408	30.000475
20138.799000	5764.140000	0.454291	30.000706
20138.935000	5764.160000	0.454851	30.001064
20139.061000	5764.545000	0.454970	30.002861
20139.197000	5764.120000	0.454688	30.001853
20139.333000	5764.201000	0.454760	30.001151
20139.469000	5764.322000	0.453629	30.002090
20139.605000	5764.808000	0.454376	30.003655
20139.741000	5764.201000	0.454454	30.005614
20139.887000	5764.626000	0.454480	30.005295
20140.013000	5764.808000	0.454917	30.004154
20140.159000	5764.262000	0.454818	30.003365
20140.285000	5764.646000	0.454655	30.005011
20140.421000	5764.565000	0.454593	30.004210
20140.547000	5764.545000	0.454610	30.003174
20140.683000	5764.767000	0.454061	29.998048
20140.819000	5764.707000	0.454093	29.996243
20140.955000	5764.727000	0.454061	29.994882
20141.101000	5764.970000	0.454084	29.996661
20141.237000	5765.010000	0.454618	29.997346
20141.383000	5764.808000	0.455035	29.996252
20141.509000	5764.626000	0.454512	29.995948
20141.665000	5764.869000	0.454464	29.996531
20141.791000	5764.929000	0.454088	29.997555
20141.917000	5764.565000	0.454354	29.999565
20142.043000	5764.808000	0.453904	29.998412
20142.189000	5765.172000	0.454489	29.995314
20142.315000	5765.051000	0.454217	29.994621
20142.451000	5764.950000	0.454820	29.993616
20142.577000	5764.869000	0.455075	29.991993
20142.713000	5765.111000	0.454738	29.990717
20142.849000	5765.071000	0.454993	29.990142
20142.985000	5765.557000	0.454397	29.990649
20143.151000	5765.334000	0.454812	29.991657
20143.277000	5765.233000	0.455011	29.991114
20143.403000	5764.889000	0.454997	29.990805
20143.529000	5765.273000	0.454286	29.992540
20143.665000	5765.172000	0.454609	29.996622
20143.791000	5765.435000	0.454907	29.998910
20143.927000	5765.132000	0.454156	29.999705
20144.063000	5765.557000	0.453752	30.000115
20144.199000	5765.334000	0.454551	30.000832
20144.335000	5765.213000	0.454571	30.002863
20144.471000	5765.455000	0.454691	30.004512
20144.637000	5765.496000	0.454334	30.002305
20144.763000	5765.354000	0.454583	30.002086
20144.889000	5765.516000	0.454498	30.002625
20145.025000	5765.516000	0.454004	30.002919
20145.151000	5765.496000	0.454961	30.005361
20145.277000	5765.678000	0.454106	30.006672
20145.413000	5765.638000	0.454047	30.005849
20145.559000	5765.638000	0.453583	30.006511
20145.695000	5765.759000	0.453723	30.007144
20145.821000	5765.597000	0.453750	30.006725
20145.957000	5765.617000	0.454291	30.003993
20146.093000	5765.739000	0.454828	30.001438
20146.229000	5766.002000	0.454803	29.997570
20146.375000	5765.961000	0.454198	29.997505
20146.511000	5766.042000	0.455565	29.996031
20146.657000	5765.961000	0.454157	29.995525
20146.793000	5765.860000	0.454733	29.994957
20146.919000	5765.880000	0.453928	29.995588
20147.045000	5766.042000	0.454145	29.996098
20147.181000	5766.224000	0.454365	29.995447
20147.307000	5765.982000	0.455012	29.995221
20147.443000	5765.617000	0.455466	29.995133
20147.589000	5765.982000	0.454789	29.995962
20147.725000	5766.042000	0.454627	29.994464
20147.881000	5766.103000	0.454500	29.993173
20148.007000	5766.184000	0.454916	29.993129
20148.163000	5766.103000	0.453689	29.997147
20148.299000	5766.164000	0.453850	29.997648
20148.435000	5766.022000	0.454851	30.000679
20148.571000	5766.224000	0.454163	30.002190
20148.717000	5766.164000	0.454674	30.004147
20148.843000	5766.305000	0.454278	30.005187
20148.979000	5766.164000	0.454483	30.007382
20149.125000	5766.042000	0.454139	30.007552
20149.261000	5766.447000	0.453793	30.007833
20149.387000	5766.568000	0.454211	30.008618
20149.513000	5766.386000	0.453617	30.007931
20149.659000	5766.366000	0.453892	30.008248
20149.785000	5766.609000	0.453718	30.008244
20149.921000	5766.346000	0.453999	30.006083
20150.057000	5766.751000	0.454248	30.002635
20150.193000	5766.751000	0.454149	29.997573
20150.329000	5766.892000	0.454097	29.994112
20150.465000	5766.811000	0.453991	29.990626
20150.601000	5766.386000	0.454535	29.988803
20150.737000	5766.872000	0.454507	29.987326
20150.883000	5766.993000	0.454720	29.987146
20151.019000	5766.852000	0.454282	29.988537
20151.155000	5766.548000	0.454588	29.990618
20151.281000	5766.933000	0.454346	29.993733
20151.417000	5767.034000	0.454145	29.995531
20151.543000	5766.690000	0.454651	29.995888
20151.689000	5766.892000	0.454001	29.996342
20151.815000	5766.791000	0.454101	29.996008
20151.951000	5767.034000	0.453665	29.997004
20152.087000	5766.852000	0.453952	29.996597
20152.223000	5766.771000	0.453590	29.994550
20152.359000	5767.034000	0.453793	29.992640
20152.495000	5766.993000	0.454085	29.990077
20152.651000	5767.256000	0.454048	29.992118
20152.777000	5767.054000	0.454391	29.992024
20152.903000	5766.912000	0.453742	29.991569
20153.029000	5767.014000	0.454637	29.991401
20153.165000	5767.034000	0.454525	29.992550
20153.301000	5767.115000	0.454523	29.996014
20153.437000	5767.095000	0.453830	29.997998
20153.573000	5766.993000	0.454351	29.996604
20153.709000	5767.054000	0.453602	29.995437
20153.845000	5767.398000	0.454017	29.995626
20153.981000	5767.155000	0.454424	29.992104
20154.147000	5767.398000	0.454127	29.991971
20154.273000	5767.176000	0.454423	29.991411
20154.399000	5767.499000	0.454190	29.993855
20154.535000	5767.600000	0.453996	29.995196
20154.691000	5767.459000	0.454886	29.997105
20154.827000	5767.439000	0.455130	29.999187
20154.963000	5767.479000	0.454334	30.001337
20155.089000	5767.378000	0.454756	30.004953
20155.215000	5767.317000	0.454193	30.004577
20155.341000	5767.783000	0.454084	30.001076
20155.477000	5767.843000	0.453736	30.000276
20155.633000	5767.823000	0.454437	29.997824
20155.779000	5767.641000	0.455224	29.997905
20155.915000	5767.823000	0.454828	29.996733
20156.051000	5767.823000	0.453614	29.994857
20156.187000	5767.641000	0.454664	29.995209
20156.343000	5767.803000	0.453797	29.996109
20156.479000	5767.783000	0.454384	29.994992
20156.625000	5767.722000	0.453970	29.994935
20156.761000	5767.843000	0.454349	29.994833
20156.897000	5768.086000	0.454423	29.993861
20157.033000	5768.005000	0.453875	29.995868
20157.169000	5768.046000	0.454445	29.996617
20157.305000	5767.904000	0.454246	29.997103
20157.441000	5768.430000	0.453520	29.995383
20157.577000	5768.268000	0.453767	29.997285
20157.713000	5768.066000	0.453575	29.997475
20157.849000	5768.106000	0.453968	29.998672
20157.985000	5768.127000	0.454727	29.994439
20158.121000	5768.531000	0.454364	29.991685
20158.257000	5768.288000	0.454981	29.992148
20158.403000	5768.693000	0.454321	29.993196
20158.539000	5768.369000	0.453806	29.994640
20158.665000	5768.491000	0.453484	29.996781
20158.801000	5768.228000	0.454723	29.997128
20158.927000	5768.430000	0.454678	29.999544
20159.063000	5768.288000	0.454906	29.999443
20159.199000	5768.632000	0.454888	30.000283
20159.335000	5768.511000	0.454284	29.999064
20159.471000	5768.471000	0.454150	29.996972
20159.627000	5768.390000	0.453569	29.994504
20159.753000	5768.653000	0.453842	29.992992
20159.899000	5768.592000	0.454519	29.991072
20160.025000	5768.491000	0.454399	29.992485
20160.151000	5768.450000	0.453999	29.990718
20160.287000	5768.794000	0.454373	29.990003
20160.433000	5768.552000	0.454366	29.989512
20160.559000	5768.673000	0.454265	29.991135
20160.695000	5768.572000	0.454132	29.994446
20160.821000	5768.552000	0.453879	29.995028
20160.957000	5768.612000	0.454247	29.995751
20161.093000	5768.653000	0.453747	29.996343
20161.229000	5768.734000	0.453769	29.996310
20161.405000	5768.794000	0.453816	29.996999
20161.561000	5768.713000	0.454629	29.997060
20161.687000	5769.199000	0.454320	29.996554
20161.813000	5769.138000	0.454156	29.997256
20161.949000	5768.713000	0.455002	29.997512
20162.075000	5769.017000	0.454120	30.000273
20162.211000	5768.713000	0.454019	30.001606
20162.347000	5769.179000	0.453947	30.000349
20162.493000	5769.280000	0.453603	29.999481
20162.629000	5769.361000	0.454454	30.001358
20162.765000	5769.219000	0.453721	29.998959
20162.891000	5769.098000	0.454087	29.996383
20163.027000	5769.321000	0.454310	29.994397
20163.163000	5769.300000	0.453958	29.991841
20163.299000	5769.401000	0.453903	29.990659
20163.435000	5769.543000	0.454531	29.990299
20163.561000	5769.199000	0.454231	29.989067
20163.697000	5769.260000	0.454116	29.986021
20163.833000	5769.422000	0.453894	29.986816
20163.969000	5769.300000	0.454579	29.988632
20164.115000	5769.321000	0.453835	29.990063
20164.251000	5769.442000	0.453706	29.990908
20164.377000	5769.219000	0.453751	29.993619
20164.523000	5769.563000	0.454366	29.994071
20164.649000	5769.361000	0.453226	29.996509
20164.785000	5769.665000	0.453439	29.999286
20164.921000	5769.482000	0.453928	29.999296
20165.047000	5769.604000	0.453965	29.998238
20165.173000	5769.665000	0.453695	29.997344
20165.299000	5769.766000	0.454211	29.994846
20165.425000	5769.826000	0.453829	29.994974
20165.561000	5769.685000	0.454047	29.993279
20165.687000	5769.705000	0.454434	29.989704
20165.833000	5769.968000	0.453782	29.990251
20165.959000	5769.685000	0.454277	29.991139
20166.095000	5769.826000	0.454369	29.991343
20166.231000	5769.685000	0.453925	29.994098
20166.377000	5769.867000	0.453998	29.995405
20166.503000	5770.150000	0.453879	29.997851
20166.649000	5769.745000	0.454104	29.998032
20166.775000	5769.907000	0.454340	29.995590
20166.911000	5769.523000	0.453950	29.994262
20167.047000	5769.705000	0.454265	29.993654
20167.183000	5769.786000	0.454065	29.993299
20167.339000	5769.907000	0.454086	29.994288
20167.475000	5769.907000	0.453546	29.994992
20167.631000	5769.867000	0.453802	29.997537
20167.767000	5770.231000	0.454276	29.999546
20167.903000	5769.867000	0.453870	30.002192
20168.039000	5769.948000	0.453295	30.003681
20168.165000	5770.231000	0.454366	30.004983
20168.301000	5770.150000	0.454033	30.004588
20168.437000	5770.312000	0.454725	30.003854
20168.573000	5770.130000	0.453860	30.003558
20168.709000	5770.373000	0.453601	30.004192
20168.845000	5770.089000	0.454166	30.004174
20168.991000	5770.110000	0.453877	30.006417
20169.127000	5770.150000	0.454108	30.006108
20169.253000	5770.332000	0.454278	30.005039
20169.389000	5770.353000	0.454499	30.003346
20169.525000	5770.170000	0.454260	30.003153
20169.651000	5770.433000	0.453761	30.003764
20169.787000	5770.697000	0.454782	30.002808
20169.933000	5770.454000	0.454509	30.002406
20170.069000	5770.676000	0.454452	30.002635
20170.195000	5770.413000	0.454354	30.003005
20170.331000	5770.555000	0.454652	30.004504
20170.467000	5770.514000	0.454215	30.005876
20170.623000	5770.838000	0.454584	30.005454
20170.749000	5770.312000	0.455379	30.004370
20170.895000	5770.616000	0.453974	30.000764
20171.021000	5770.838000	0.454705	30.000075
20171.147000	5770.717000	0.454421	30.000108
20171.283000	5770.535000	0.454519	30.002934
20171.429000	5770.777000	0.453961	30.003387
